"party","party_color","party_icon","candidate","percentage","image_url"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Þorvaldur Da.","72","https://visir.is/static/files/uploads/vidreisn_3.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Margrét Rós","25","https://visir.is/static/files/uploads/vidreisn_4.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Eyþór Máni S.","3","https://visir.is/static/files/uploads/vidreisn_5.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Sandra Hlín","0.1","https://visir.is/static/files/uploads/vidreisn_6.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Sverrir Páll E.","0","https://visir.is/static/files/uploads/vidreisn_7.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Monika K. W.","0","https://visir.is/static/files/uploads/vidreisn_8.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Samúel Torfi P.","0","https://visir.is/static/files/uploads/vidreisn_9.png"
"Viðreisn","#FB9B40","https://visir.is/static/files/uploads/vidreisn45.svg","Ingunn Rós K.","0","https://visir.is/static/files/uploads/vidreisn_10.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Hildur Björns","100","https://visir.is/static/files/uploads/falkinn_1.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Bjarni Eggerts","100","https://visir.is/static/files/uploads/falkinn_2.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Brynjar Þór N.","100","https://visir.is/static/files/uploads/falkinn_3.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Ragnhildur A.","100","https://visir.is/static/files/uploads/falkinn_4.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Rúnar Freyr","93","https://visir.is/static/files/uploads/falkinn_5.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Guðný María","68","https://visir.is/static/files/uploads/falkinn_6.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Albert Guðm.","29","https://visir.is/static/files/uploads/falkinn_7.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Bjarni Fritzs.","6","https://visir.is/static/files/uploads/falkinn_8.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Sigrún Ásta E.","0.6","https://visir.is/static/files/uploads/falkinn_9.png"
"Sjálfstæðisfl.","#2F5DA9","https://visir.is/static/files/uploads/falkinn45.png","Björn Gíslason","0","https://visir.is/static/files/uploads/falkinn_10.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","??","55","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/hmmhver.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","??","2","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/hmmhver.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","Einar Sveinbj.","0","https://visir.is/static/files/uploads/flokkurfolksins_3.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","Natalie Guðríður G.","0","https://visir.is/static/files/uploads/flokkurfolksins_4.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","Rúnar Sigurjónsson","0","https://visir.is/static/files/uploads/flokkurfolksins_5.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","F Cand 6","0","https://visir.is/static/files/uploads/flokkurfolksins_6.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","F Cand 7","0","https://visir.is/static/files/uploads/flokkurfolksins_7.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","F Cand 8","0","https://visir.is/static/files/uploads/flokkurfolksins_8.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","F Cand 9","0","https://visir.is/static/files/uploads/flokkurfolksins_9.png"
"Flokkur fólksins","#F3BE35","https://visir.is/static/files/uploads/flokkurfolksins45.svg","F Cand 10","0","https://visir.is/static/files/uploads/flokkurfolksins_10.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Silja Sóley","38","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/sosialistar_1.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Sigrún E. U.","0.7","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/sosialistar_2.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Hannes Péturs.","0","https://visir.is/static/files/uploads/sosialistar_3.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Geirdís Hanna K.","0","https://visir.is/static/files/uploads/sosialistar_4.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Jón Ferdínand E.","0","https://visir.is/static/files/uploads/sosialistar_5.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Birna Gunnlaugsd.","0","https://visir.is/static/files/uploads/sosialistar_6.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Rósa Guðný A.","0","https://visir.is/static/files/uploads/sosialistar_7.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Halldór Ísak Ó.","0","https://visir.is/static/files/uploads/sosialistar_8.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Jökull Sólberg A.","0","https://visir.is/static/files/uploads/sosialistar_9.png"
"Sósíalistar","#F95C46","https://visir.is/static/files/uploads/sosialistar45.svg","Júnía Líf M. S.","0","https://visir.is/static/files/uploads/sosialistar_10.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Ari Edwald","100","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/midflokkurinn_1.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Kristín Kolbr.","91","https://visir.is/static/files/uploads/midflokkurinn_2.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Lárus Blöndal","54","https://visir.is/static/files/uploads/midflokkurinn_3.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Hlédís Maren","12","https://visir.is/static/files/uploads/midflokkurinn_4.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Helgi Áss G.","0.9","https://visir.is/static/files/uploads/midflokkurinn_5.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Páll Edwald","0","https://visir.is/static/files/uploads/midflokkurinn_6.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Eva Þorsteinsd.","0","https://visir.is/static/files/uploads/midflokkurinn_7.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Katrín Magnúsd.","0","https://visir.is/static/files/uploads/midflokkurinn_8.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Breki Atlason","0","https://visir.is/static/files/uploads/midflokkurinn_9.png"
"Miðflokkurinn","#15296F","https://visir.is/static/files/uploads/midflokkurinn45.svg","Salma Björk Ö.","0","https://visir.is/static/files/uploads/midflokkurinn_10.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Kristinn Jón","76","https://visir.is/static/files/uploads/piratar_1.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Alexandra Br.","17","https://visir.is/static/files/uploads/piratar_2.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Oktavía Hr.","0.4","https://visir.is/static/files/uploads/piratar_3.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Unnar Þór S.","0","https://visir.is/static/files/uploads/piratar_4.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Olga Margrét","0","https://visir.is/static/files/uploads/piratar_5.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Hans Alex.","0","https://visir.is/static/files/uploads/piratar_6.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Tinna Helgad.","0","https://visir.is/static/files/uploads/piratar_7.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Oddur Björn J.","0","https://visir.is/static/files/uploads/piratar_8.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Jökull L. V.","0","https://visir.is/static/files/uploads/piratar_9.png"
"Píratar","#9d93ad","https://visir.is/static/files/uploads/piratar45.png","Guðni Freyr","0","https://visir.is/static/files/uploads/piratar_10.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Pétur H. Mart.","100","https://visir.is/static/files/uploads/samfylkingin_1.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Heiða Björg","100","https://visir.is/static/files/uploads/samfylkingin_2.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Steinunn G.","100","https://visir.is/static/files/uploads/samfylkingin_3.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Skúli Helgas.","100","https://visir.is/static/files/uploads/samfylkingin_4.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Stein Olav R.","95","https://visir.is/static/files/uploads/samfylkingin_5.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Bjarnveig B.","72","https://visir.is/static/files/uploads/samfylkingin_6.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Regína Ásval.","34","https://visir.is/static/files/uploads/samfylkingin_7.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Birkir Ingibj.","8","https://visir.is/static/files/uploads/samfylkingin_8.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Isabel Alej.","1","https://visir.is/static/files/uploads/samfylkingin_9.png"
"Samfylking","#E53935","https://visir.is/static/files/uploads/samfylkingin3.svg","Sara Björg S.","0","https://visir.is/static/files/uploads/samfylkingin_10.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","Sanna M.","100","https://visir.is/static/files/uploads/vinstrid_1.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","Líf Magneud.","90","https://visir.is/static/files/uploads/vinstrid_2.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","Stefán Páls.","52","https://visir.is/static/files/uploads/vinstrid_3.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","Ásta Þórdís S.","12","https://visir.is/static/files/uploads/vinstrid_4.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","Arna Magnea","0.7","https://visir.is/static/files/uploads/vinstrid_5.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","Finnur Ricart","0","https://visir.is/static/files/uploads/vinstrid_6.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","V Cand 7","0","https://visir.is/static/files/uploads/vinstrid_7.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","V Cand 8","0","https://visir.is/static/files/uploads/vinstrid.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","V Cand 9","0","https://visir.is/static/files/uploads/vinstrid.png"
"Vinstrið","#9dc09b","https://visir.is/static/files/uploads/vinstrid45b.svg","V Cand 10","0","https://visir.is/static/files/uploads/vinstrid.png"
"Okkar borg","#191919","https://visir.is/static/files/uploads/okkarborg45.png","Sigfús Aðals.","6","https://raw.githubusercontent.com/blesigamlialeiti/gamli/refs/heads/main/kspa/ob_1.png"
